GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MySpring,com.designpattern.dp6proxypattern.staticproxyPlus,DynamicDataSourceEntry,36,0,0,0,12,0,7,0,7,0
MySpring,com.designpattern.dp6proxypattern.staticproxyPlus,OrderDao,8,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp6proxypattern.staticproxyPlus,OrderServiceStaticProxy,60,0,0,0,16,0,4,0,4,0
MySpring,com.designpattern.dp6proxypattern.staticproxyPlus,Test,37,0,0,0,11,0,2,0,2,0
MySpring,com.designpattern.dp6proxypattern.staticproxyPlus,OrderService,16,0,0,0,5,0,2,0,2,0
MySpring,com.designpattern.dp6proxypattern.staticproxyPlus,Order,24,0,0,0,10,0,7,0,7,0
MySpring,com.wqiang.service,OrderService,3,0,0,0,1,0,1,0,1,0
MySpring,com.wqiang.service,WqiangBeanPostProcessor,39,0,4,0,11,0,5,0,3,0
MySpring,com.wqiang.service,WqiangBeanPostProcessor.new InvocationHandler() {...},23,0,0,0,5,0,2,0,2,0
MySpring,com.wqiang.service,UserServiceImpl,40,0,0,0,11,0,6,0,6,0
MySpring,com.wqiang.service,UnscannableClass,3,0,0,0,1,0,1,0,1,0
MySpring,com.designpattern.dp2factorymethod,Test,22,0,0,0,8,0,2,0,2,0
MySpring,com.designpattern.dp2factorymethod,PYthonCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp2factorymethod,JavaCourseFactory,7,0,0,0,2,0,2,0,2,0
MySpring,com.designpattern.dp2factorymethod,PythonCourseFactory,7,0,0,0,2,0,2,0,2,0
MySpring,com.designpattern.dp2factorymethod,JavaCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.myspring,BeanDefinition,26,0,0,0,12,0,6,0,6,0
MySpring,com.myspring,MyAnnotationConfigApplicationContext,411,0,42,0,94,0,25,0,4,0
MySpring,com.designpattern.dp8strategypattern.v2,SaleStrategyFactory,41,0,2,0,7,0,3,0,2,0
MySpring,com.designpattern.dp8strategypattern.v2,Test,14,0,0,0,5,0,2,0,2,0
MySpring,com.designpattern.dp8strategypattern.v1,CouponStrategy,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp8strategypattern.v1,SaleActivity,10,0,0,0,5,0,2,0,2,0
MySpring,com.designpattern.dp8strategypattern.v1,EmptyStrategy,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp8strategypattern.v1,CashbackStrategy,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp8strategypattern.v1,Test,49,0,4,0,12,0,4,0,2,0
MySpring,com.designpattern.dp8strategypattern.v1,GroupbuyStrategy,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp11decoratorpattern.Demo,BaseBattercake,7,0,0,0,3,0,3,0,3,0
MySpring,com.designpattern.dp11decoratorpattern.Demo,BattercakeDecorator,14,0,0,0,5,0,3,0,3,0
MySpring,com.designpattern.dp11decoratorpattern.Demo,SausageBattercakeDecorator,20,0,0,0,5,0,4,0,4,0
MySpring,com.designpattern.dp11decoratorpattern.Demo,Test,79,0,0,0,10,0,2,0,2,0
MySpring,com.designpattern.dp11decoratorpattern.Demo,EggBattercakeDecorator,20,0,0,0,5,0,4,0,4,0
MySpring,com.designpattern.dp11decoratorpattern.Demo,Battercake,3,0,0,0,1,0,1,0,1,0
MySpring,com.designpattern.dp1simplefactory.v3,Test,10,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v3,PythonCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v3,JavaCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v3,CourseFactory,25,0,4,0,6,0,4,0,2,0
MySpring,com.designpattern.dp1simplefactory.v4,CourseFactory,20,0,2,0,6,0,3,0,2,0
MySpring,com.designpattern.dp1simplefactory.v4,JavaCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v4,PythonCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v4,Test,10,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v1,JavaCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v1,Test,10,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v2,PythonCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v2,Test,10,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v2,JavaCourse,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp1simplefactory.v2,CourseFactory,21,0,4,0,6,0,4,0,2,0
MySpring,com.wqiang,ApplicationContextConfig,3,0,0,0,1,0,1,0,1,0
MySpring,com.wqiang,Test,19,0,0,0,6,0,2,0,2,0
MySpring,com.designpattern.dp7delegatepattern,Boss,7,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp7delegatepattern,Test,12,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp7delegatepattern,Leader,32,0,0,0,7,0,2,0,2,0
MySpring,com.designpattern.dp7delegatepattern,EmployeeB,14,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp7delegatepattern,EmployeeA,14,0,0,0,3,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.register.ContainerSingleton,ContainerSingleton,43,0,2,0,11,0,3,0,2,0
MySpring,com.designpattern.dp10adapterpattern.demo,PowerAdapter,32,0,0,0,7,0,2,0,2,0
MySpring,com.designpattern.dp10adapterpattern.demo,AC220V,19,0,0,0,4,0,2,0,2,0
